risk_id,title,asset_id,scenario,threat,vulnerability,existing_controls,L_1to5,I_1to5,score,level,treatment,actions,owner,target_date,status,notes
R01,Account takeover via phishing,A01,"User clicks phishing link -> creds captured -> attacker accesses cloud apps/data","Phishing / credential theft","Weak MFA coverage, user awareness gaps","MFA partial, basic filtering",4,4,16,Critical,Reduce,"Enforce MFA for all; conditional access; phishing awareness; disable legacy auth",IT,2026-03-31,Open,"Top risk for most orgs"
R02,BEC / invoice fraud,A02,"Attacker spoofs supplier email -> finance pays fake invoice","Social engineering","No payment verification workflow","SPF/DKIM partial",3,4,12,High,Reduce,"2-person approval; out-of-band vendor bank change verification; DMARC rollout",Finance,2026-02-28,Open,"High business impact"
R03,Ransomware via remote access,A06,"Stolen creds or vuln on VPN/RDP -> lateral move -> encryption","Ransomware","Remote access exposure, weak segmentation","VPN exists, patching inconsistent",3,5,15,Critical,Reduce,"Patch/VPN hardening; MFA; restrict admin access; segmentation; EDR rollout",IT,2026-04-30,Open,"Include backup/restore test"
R04,Backup compromise / no recovery,A05,"Ransomware deletes backups -> no restore","Ransomware","Backups not immutable, restore not tested","Daily backups",3,5,15,Critical,Reduce,"Immutable/offline backups; separate creds; monthly restore test; backup monitoring",IT,2026-03-31,Open,"Recovery is a control, not a hope"
R05,Privileged account misuse,A08,"Admin creds leaked -> full takeover","Credential theft","Shared admin accounts, no PAM, weak logging","Some admin separation",3,5,15,Critical,Reduce,"Unique admin accounts; PAM lite; just-in-time; audit logs; break-glass process",IT,2026-05-31,Open,"Core governance risk"
R06,Data leakage via cloud sharing,A04,"Sensitive docs shared publicly by mistake","Human error","No classification, permissive sharing defaults","Some permissions",4,3,12,High,Reduce,"Block external sharing by default; classification; DLP lite; periodic access review",IT,2026-04-15,Open,"Common and measurable"
R07,Unpatched endpoints exploited,A03,"Malware exploits outdated software on laptops","Malware","Patch management gaps","Antivirus",4,3,12,High,Reduce,"Patch SLA; auto-update; inventory; remove local admin; EDR",IT,2026-03-15,Open,"Quick wins possible"
R08,Lost/stolen laptop exposes data,A03,"Lost device exposes cached data","Physical loss","No full disk encryption, weak MDM","Password policy",3,4,12,High,Reduce,"BitLocker; MDM; remote wipe; conditional access for compliant devices",IT,2026-03-31,Open,"Easy to justify"
R09,Supplier compromise impacts services,A10,"Vendor breach -> access to org data/services","Supply chain","No vendor security review, weak contracts","Basic vendor selection",3,4,12,High,Reduce,"Vendor questionnaire; contract clauses; access minimization; annual review",Procurement,2026-06-30,Open,"GRC-friendly"
R10,Insufficient logging & detection,A01,"Attack happens but not detected quickly","Multiple","Logs not centralized, no alerting","Some local logs",4,4,16,Critical,Reduce,"Centralize logs; define top alerts; incident playbooks; quarterly tabletop",IT,2026-06-30,Open,"Risk-driven and realistic"
R11,Weak incident response readiness,A05,"No clear roles/process -> slow containment","Operational","No IR plan, no exercises","Ad hoc response",4,4,16,Critical,Reduce,"IR plan; RACI; contact list; tabletop exercise; evidence preservation guide",Security,2026-05-31,Open,"Must-have for cyber-risk"
R12,Public portal vulnerability,A07,"Web vuln exploited -> data leak / defacement","Web attack","No SDLC/security testing","Occasional updates",3,3,9,Medium,Reduce,"Basic SAST/DAST; patch cadence; WAF rules; vuln disclosure process",IT,2026-07-31,Open,"Keep realistic"

